CALQ_0,CALQ_1,CALQ_2,CALQ_3,CALQ_4,CALQ_5,CALQ_6,CALQ_7,CALQ_8,CALQ_9,CALQ_10,CALQ_11,CALQ_12,CALQ_13,CALQ_14,CALQ_15,CALQ_16,CALQ_17,CALQ_18,CALQ_19,CALQ_20,CALQ_21,CALQ_22,CALQ_23,CALQ_24,CALQ_25,CALQ_26,CALQ_27,CALQ_28,CALQ_29,CALQ_30,CALQ_31,CALQ_32,CALQ_33,CALQ_34,CALQ_35,CALQ_36,CALQ_37,CALQ_38,CALQ_39,CALQ_40,CALQ_41,CALQ_42,CALQ_43,CALQ_44,CALQ_45,CALQ_46,CALQ_47
104,76,7,51,224,42,29,54,60,244,94,38,80,31,26,42,0,0,2,33,0,4,40,56,24,34,86,112,110,54,106,7,85,32,21,3,0,0,0,0,0,0,0,0,0,0,0,0
203,49,0,0,125,120,64,0,64,104,214,234,133,16,70,31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,45,68,62,132,116,36,58,69,61,92,38,22,18,80,44,0,0,0,29,0,0,0,52,0,0,0,42,0,0,0,26,39,48,45,72,97,53,53,0,32,80,7,0,20,6,0,0
0,0,0,0,0,0,0,254,3,23,93,245,148,55,170,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,122,25,0,3,29,0,0,109,3,0,0,146,5,0,0
0,0,4,9,0,35,60,32,26,11,12,60,68,29,166,126,118,233,77,18,0,0,0,0,0,0,0,0,0,0,0,0,96,53,259,47,208,91,129,61,576,183,218,110,26,184,146,139
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,104,0,0,180,60,154,0,39,48,25,4,206,172,91,203
0,0,0,5,0,0,0,36,0,0,0,91,0,0,0,26,25,48,105,25,239,21,12,0,142,133,0,0,47,25,0,0,126,193,75,48,20,131,109,65,2,153,168,84,97,161,26,89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,148,0,0,14,98,0,0,102,22,0,0,87,0,0,0,0,0,0,0,0,0,0,4,44,12,43,123,51,180,64,80
30,32,19,29,0,0,0,0,0,0,0,0,0,0,0,0,44,28,79,17,224,668,144,41,128,183,51,76,64,50,55,10,0,0,23,120,0,114,80,25,4,122,36,90,103,58,26,40
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,21,0,0,28,120,52,0,64,62,94,5,18,12,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
12,74,98,262,134,49,66,8,78,15,0,0,40,24,0,0,98,180,38,82,33,27,58,174,69,42,610,9,113,48,104,28,0,0,0,71,0,0,0,26,0,0,0,91,0,0,0,33
108,30,7,0,98,21,0,0,109,10,0,0,67,0,0,0,0,0,0,0,0,0,0,12,9,24,36,82,88,41,142,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,9,17,14,25,81,47,55,4,14,47,30,4,30,14,284,245,182,0,5,69,33,99,10,11,6,46,20,120,16,3,67,136,0,17,14,149,28,23,7,98,22,24,2,28,63,15,19
74,24,101,62,11,34,169,14,152,27,286,186,28,16,44,76,48,62,107,78,57,53,85,81,64,101,9,21,126,48,129,14,32,33,39,10,47,59,37,18,61,60,43,0,31,82,29,43
